NAME,FLOOR,X,Y
OPD2-DH,0,178.702,-153.958
C0-30,0,77.458,-89.751
C0-37,0,73.363,-6.87
C0-36,0,77.581,-6.771
C0-35,0,77.498,-11.434
C0-34,0,77.167,-30.539
C0-33,0,77.375,-50.518
C0-32,0,91.946,-85.425
C0-31,0,88.94,-85.399
C0-28,0,77.377,-84.723
C0-27,0,77.326,-75.829
C0-26,0,77.249,-59.896
C0-25,0,107.222,-59.537
C0-24,0,142.462,-59.615
C0-20,0,134.088,-75.288
C0-21,0,133.992,-85.184
C0-22,0,137.463,-85.184
C0-23,0,140.674,-85.184
C0-9,0,151.815,-84.679
C0-19,0,142.824,-75.288
C0-8,0,151.815,-75.288
C0-6,0,181.948,-75.288
C0-4,0,181.948,-41.989
C0-3,0,173.305,-41.629
RD,0,164.432,-7.344
C0-1,0,164.709,-13.357
C0-29,0,73.467,-84.768
C0-7,0,183.685,-81.761
C0-10,0,151.906,-106.786
C0-12,0,151.969,-124.115
OPD1-DH,0,139.67,-153.945
Lift-6,0,138.437,-138.749
Lift-5,0,138.393,-135.355
Lift-2,0,140.476,-81.715
Lift-1,0,137.043,-81.715
Lift-4,0,140.605,-89.055
Lift-3,0,137.09,-89.028
Lift-8,0,92.111,-89.054
Lift-7,0,88.661,-88.972
UEC-DH,0,88.377,-20.771
SDEC-DH,0,73.508,-51.093
FRAILTY-DELIVERYHUB,0,73.641,-87.239
RD2,0,173.084,-8.403
FRAILTY-DH,0,73.457,-90.313
PHARMACY-DH,0,186.57,-80.154
AMU-DELIVERYHUB,0,73.6,-9.096
AMU-DH,0,73.628,-11.998
C0-5,0,181.917,-63.981
C0-18,0,178.434,-150.018
C0-17,0,139.652,-150.053
C0-16,0,142.736,-149.965
C0-A,0,142.21,-138.617
C0-15,0,142.122,-135.61
C0-13,0,151.939,-132.199
C0-14,0,142.333,-132.392
C0-11,0,151.977,-121.358
MORTUARY-DH,0,185.405,-64.045
C0-2,0,173.305,-13.345
